Transaction Date, State ,SKU,Sales($),COGS,Qty
2017-07-17,California,"Eldon Base for stackable storage shelf, platinum",77.88,73.98599999999999,2
2017-07-16,Texas,"Personal Filing Tote with Lid, Black/Gray",37.224,33.501599999999996,3
2017-07-16,Texas,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,13.761,3
2017-07-12,California,Cisco SPA525G2 IP Phone - Wireless,95.76,88.578,6
2017-07-25,California,Clear Mylar Reinforcing Strips,119.616,79.2456,8
2017-07-25,California,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",255.76,173.9168,4
2017-07-25,California,DMI Arturo Collection Mission-style Design Wood Chair,241.568,223.4504,2
2017-07-25,California,Deflect-O Glasstique Clear Desk Accessories,69.3,46.431,9
2017-07-10,Arizona,Sterilite Officeware Hinged File Box,16.768,15.3008,2
2017-07-14,Arizona,LG Electronics Tone+ HBS-730 Bluetooth Headset,380.864,342.7776,8
2017-07-14,Pennsylvania,Acme Stainless Steel Office Snips,11.632,10.6142,2
2017-07-16,Pennsylvania,Mophie Juice Pack Helium for iPhone,143.982,172.7784,3
2017-07-16,Pennsylvania,GE 2-Jack Phone Line Splitter,494.376,609.7303999999999,4
2017-07-16,Pennsylvania,Acme Value Line Scissors,5.84,5.109999999999999,2
2017-07-07,Florida,Acme Softgrip Scissors,45.584,40.4558,7
2017-07-23,Florida,Boston 16801 Nautilus Battery Pencil Sharpener,35.216,32.5748,2
2017-07-23,Florida,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",23.696,17.1796,2
2017-07-23,Florida,Zebra GX420t Direct Thermal/Thermal Transfer Printer,265.475,376.97450000000003,1
2017-07-22,California,Self-Adhesive Removable Labels,6.3,3.276,2
2017-07-02,California,Hon Deluxe Fabric Upholstered Stacking Chairs,195.184,175.66559999999998,1
2017-07-18,Colorado,Hon GuestStacker Chair,544.008,503.2074,3
2017-07-18,Colorado,Round Ring Binders,1.872,3.3072,3
2017-07-18,Colorado,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,854.352,843.6726,3
2017-07-18,Colorado,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",593.568,593.568,2
2017-07-18,Colorado,"Fellowes Strictly Business Drawer File, Letter/Legal Size",338.04,371.84400000000005,3
2017-07-14,New York,"Personal Folder Holder, Ebony",11.21,7.847000000000001,1
2017-07-14,New York,Acco Hanging Data Binders,9.144,5.9436,3
2017-07-14,New York,Ideal Clamps,14.07,7.1757,7
2017-07-14,New York,Newell 315,41.86,31.395,7
2017-07-14,New York,Pressboard Data Binders by Wilson Jones,8.544,5.660400000000001,2
2017-07-14,New York,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,579.136,557.4184,4
2017-07-14,Texas,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,419.944,367.451,7
2017-07-09,New York,Hon GuestStacker Chair,408.006,335.47159999999997,2
2017-07-09,New York,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",165.28,150.4048,4
2017-07-22,Pennsylvania,12 Colored Short Pencils,4.16,3.7960000000000003,2
2017-07-22,Pennsylvania,"Master Caster Door Stop, Large Neon Orange",11.648,8.299199999999999,2
2017-07-10,Texas,"Fellowes Strictly Business Drawer File, Letter/Legal Size",338.04,371.84400000000005,3
2017-07-10,Texas,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,154.24,136.888,4
2017-07-07,California,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",215.65,142.329,5
2017-07-18,Kentucky,Hon Olson Stacker Stools,140.81,101.3832,1
