Transaction Date, State ,SKU,Sales($),COGS,Qty
2016-11-22,Texas,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,192.668,5
2016-11-22,Texas,Storex DuraTech Recycled Plastic Frosted Binders,2.544,6.359999999999999,3
2016-11-24,California,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,7.8288,2
2016-11-24,California,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,16.4628,6
2016-11-24,California,Xerox 1943,146.73,77.76689999999999,3
2016-11-24,California,Luxo Economy Swing Arm Lamp,79.76,57.427200000000006,4
2016-11-13,Colorado,Logitech K350 2.4Ghz Wireless Keyboard,238.896,265.7718,6
2016-11-13,Colorado,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,106.1985,3
2016-11-13,Colorado,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,62.6994,3
2016-11-21,Ohio,"Padded Folding Chairs, Black, 4/Carton",396.802,408.1392,7
2016-11-21,Ohio,Acme Rosewood Handle Letter Opener,15.88,19.651500000000002,5
2016-11-28,Illinois,Eldon 100 Class Desk Accessories,12.132,20.6244,9
2016-11-28,Illinois,"Belkin 19"" Vented Equipment Shelf, Black",82.368,101.93039999999999,2
2016-11-28,Illinois,"Tenex Personal Project File with Scoop Front Design, Black",53.92,49.876000000000005,5
2016-11-28,Illinois,Logitech Mobile Speakerphone P710e - speaker phone,647.904,591.2124,6
2016-11-10,California,Microsoft Sculpt Comfort Mouse,79.9,44.74400000000001,2
2016-11-02,California,"Bevis Round Bullnose 29"" High Table Top",1038.84,986.8979999999999,5
2016-11-27,Florida,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.4575,532.467,3
2016-11-27,Florida,Logitech Media Keyboard K200,83.976,85.0257,3
2016-11-07,California,Safco Contoured Stacking Chairs,190.72,178.8,1
2016-11-15,Illinois,Home/Office Personal File Carts,250.272,234.63,9
2016-11-15,Illinois,Flexible Leather- Look Classic Collection Ring Binder,11.364,28.41,3
2016-11-15,Illinois,Staple remover,8.72,10.464,5
2016-11-29,Michigan,"Global Manager's Adjustable Task Chair, Storm",301.96,214.39159999999998,2
2016-11-29,Michigan,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,555.21,376.309,5
2016-11-29,Michigan,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",523.48,392.61,4
2016-11-29,Michigan,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",161.82,114.8922,9
2016-11-27,California,"Situations Contoured Folding Chairs, 4/Set",283.92,266.175,5
2016-11-20,New York,Boston 19500 Mighty Mite Electric Pencil Sharpener,60.45,44.1285,3
2016-11-20,New York,Newell 335,11.52,8.1792,4
2016-11-20,New York,O'Sullivan 3-Shelf Heavy-Duty Bookcases,186.048,176.7456,4
2016-11-27,Arkansas,Zipper Ring Binder Pockets,6.24,3.1824000000000003,2
2016-11-13,North Carolina,Xerox 1910,115.296,74.9424,3
2016-11-06,Arizona,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",7.08,4.602,3
2016-11-06,Arizona,UniKeep View Case Binders,4.401,7.921799999999999,3
2016-11-20,California,Newell 333,19.46,14.400400000000001,7
2016-11-29,Michigan,Easy-staple paper,19.92,10.557600000000003,4
2016-11-29,Michigan,"Global High-Back Leather Tilter, Burgundy",1106.91,985.1499000000001,9
2016-11-02,Washington,Logitech K350 2.4Ghz Wireless Keyboard,447.93,398.6577,9
2016-11-03,California,Cisco IP Phone 7961G-GE VoIP phone,1212.848,1106.7238,7
2016-11-03,California,Logitech Trackman Marble Mouse,89.97,52.1826,3
2016-11-03,California,Coloredge Poster Frame,42.6,25.986,3
2016-11-07,Delaware,Rubber Band Ball,26.18,25.6564,7
2016-11-07,Delaware,Loose Memo Sheets,7.3,3.8689999999999998,2
2016-11-23,Texas,Xerox 1915,335.52,218.08799999999997,4
2016-11-23,Texas,GBC Recycled Regency Composition Covers,23.912,64.5624,2
2016-11-23,Texas,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",27.056,24.6886,2
2016-11-09,Pennsylvania,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",11.352,7.2369,3
2016-11-29,Texas,Kingston Digital DataTraveler 16GB USB 2.0,21.48,21.7485,3
2016-11-29,Texas,GBC Imprintable Covers,8.784,22.3992,4
2016-11-16,New York,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",523.25,381.97249999999997,5
2016-11-01,Pennsylvania,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,35.36,38.454,2
2016-11-01,Pennsylvania,"Brites Rubber Bands, 1 1/2 oz. Box",3.168,3.8808000000000002,2
2016-11-22,Pennsylvania,GBC Durable Plastic Covers,11.61,20.898,2
2016-11-22,Texas,Hon 2111 Invitation Series Straight Table,206.962,239.4846,2
2016-11-24,California,Xerox 1919,368.91,188.14410000000004,9
2016-11-24,California,Prang Colored Pencils,14.7,8.084999999999999,5
2016-11-05,North Carolina,Harbour Creations Steel Folding Chair,207.0,181.125,3
2016-11-08,Massachusetts,American Pencil,11.65,8.2715,5
2016-11-09,Missouri,Binder Posts,17.22,9.2988,3
2016-11-09,Missouri,Bevis Round Conference Table Top & Single Column Base,1024.38,809.2602000000002,7
2016-11-09,Missouri,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",26.22,13.8966,3
2016-11-09,Missouri,Xerox 1978,17.34,8.843399999999999,3
2016-11-26,Massachusetts,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",14.73,7.806900000000001,3
2016-11-26,Massachusetts,"Tennsco Lockers, Sand",104.9,79.724,5
2016-11-26,Massachusetts,Aluminum Screw Posts,61.04,30.52,4
2016-11-26,Massachusetts,Loose Memo Sheets,10.95,5.8035,3
2016-11-25,North Carolina,Newell 349,13.12,11.643999999999998,5
2016-11-20,New York,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",19.65,10.610999999999999,3
2016-11-30,Pennsylvania,Fellowes PB200 Plastic Comb Binding Machine,152.991,275.3838,3
2016-11-30,Pennsylvania,Revere Boxed Rubber Bands by Revere,10.584,12.965399999999999,7
2016-11-30,Pennsylvania,Motorla HX550 Universal Bluetooth Headset,94.92,79.1,4
2016-11-22,Massachusetts,Xerox 1970,14.94,7.9182,3
2016-11-08,California,Advantus Plastic Paper Clips,5.0,2.6,1
2016-11-08,California,Logitech G19 Programmable Gaming Keyboard,371.97,305.0154,3
2016-11-01,New York,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,4.95,3.6135,1
2016-11-01,New York,Avoid Verbal Orders Carbonless Minifold Book,13.52,7.3008,4
2016-11-01,New York,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",259.7,153.22299999999998,5
2016-11-01,New York,Plantronics MX500i Earset,42.95,41.661500000000004,1
2016-11-01,New York,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93,797.9601,7
2016-11-01,New York,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,503.96,377.96999999999997,4
2016-11-14,New York,Imation Clip USB flash drive - 8 GB,37.6,35.344,2
2016-11-14,New York,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,59.9,35.94,2
2016-11-14,New York,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",37.0,20.35,5
2016-11-14,Virginia,Brown Kraft Recycled Envelopes,33.96,16.98,2
2016-11-14,Virginia,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,826.11,503.9271,3
2016-11-03,Texas,"#10 Gummed Flap White Envelopes, 100/Box",6.608,4.4604,2
2016-11-12,California,"Adams ""While You Were Out"" Message Pads",15.7,8.634999999999998,5
2016-11-13,Delaware,BlackBerry Q10,377.97,283.4775,3
2016-11-13,Delaware,"Adams Telephone Message Books, 5 1/4” x 11”",42.28,22.4084,7
2016-11-13,Delaware,Bestar Classic Bookcase,299.97,242.97570000000002,3
2016-11-13,Delaware,Innergie mMini Combo Duo USB Travel Charging Kit,89.98,46.78960000000001,2
2016-11-22,Texas,SanDisk Cruzer 8 GB USB Flash Drive,27.168,28.5264,4
2016-11-01,Oregon,Lumber Crayons,7.88,6.107,1
2016-11-16,Wisconsin,Xerox 191,179.82,95.3046,9
2016-11-16,Wisconsin,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",185.58,109.49220000000001,6
2016-11-16,Wisconsin,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",214.11,177.71130000000002,3
2016-11-16,Wisconsin,Logitech diNovo Edge Keyboard,999.96,769.9692,4
2016-11-16,Wisconsin,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",653.55,542.4465,3
2016-11-05,Florida,"Belkin 325VA UPS Surge Protector, 6'",387.136,362.94,4
2016-11-30,Texas,GBC Instant Report Kit,3.882,9.705,3
2016-11-08,Utah,Alliance Rubber Bands,5.04,4.8384,3
2016-11-08,Utah,Xerox 1988,92.94,51.117,3
2016-11-08,Utah,"Executive Impressions 14"" Contract Wall Clock",66.69,44.6823,3
2016-11-08,Utah,Deluxe Heavy-Duty Vinyl Round Ring Binder,91.68,63.03000000000001,5
2016-11-08,New York,Storex Dura Pro Binders,52.272,34.6302,11
2016-11-08,New York,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),17.94,9.867,3
2016-11-27,Delaware,Apple EarPods with Remote and Mic,83.97,60.4584,3
2016-11-27,Delaware,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",104.97,97.6221,3
2016-11-05,New York,"Wilson Jones 1"" Hanging DublLock Ring Binders",25.344,16.4736,6
2016-11-21,Nevada,"Hon Metal Bookcases, Putty",141.96,100.79160000000002,2
2016-11-21,Nevada,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",66.048,42.931200000000004,4
2016-11-29,California,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",4.304,2.7438000000000002,1
2016-11-22,Tennessee,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",2.946,5.0082,2
2016-11-22,Tennessee,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",55.104,36.5064,6
2016-11-19,Washington,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",141.96,119.24640000000001,2
2016-11-27,New York,Peel-Off China Markers,29.79,17.2782,3
2016-11-12,Florida,Newell 317,11.76,10.437,5
2016-11-12,Florida,Wilson Jones Leather-Like Binders with DublLock Round Rings,5.238,9.2538,2
2016-11-12,Florida,"SlimView Poly Binder, 3/8""",4.662,8.3916,3
2016-11-12,Florida,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",523.92,595.959,5
2016-11-12,Florida,VTech DS6151,100.792,90.7128,1
2016-11-12,Florida,"Global Push Button Manager's Chair, Indigo",146.136,129.6957,3
2016-11-05,Illinois,Avery 476,19.824,13.381200000000002,6
2016-11-14,Delaware,"Executive Impressions 13"" Chairman Wall Clock",76.14,49.491,3
2016-11-14,Delaware,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",19.96,10.578800000000001,2
2016-11-28,Illinois,"Eldon ""L"" Workstation Diamond Chairmat",151.96,334.312,5
2016-11-14,Pennsylvania,Micro Innovations Wireless Classic Keyboard with Mouse,47.984,49.1836,2
2016-11-20,California,Gear Head AU3700S Headset,72.744,88.2021,7
2016-11-20,California,Safco Contoured Stacking Chairs,572.16,536.4,3
2016-11-24,California,Avery Reinforcements for Hole-Punch Pages,3.168,2.178,2
2016-11-24,California,Xerox 225,19.44,10.1088,3
2016-11-24,California,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,454.86,400.27680000000004,7
2016-11-24,California,Avery Premier Heavy-Duty Binder with Round Locking Rings,91.392,61.6896,8
2016-11-28,New York,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,258.072,3
2016-11-29,California,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",56.3,40.536,2
2016-11-16,Idaho,Bretford CR4500 Series Slim Rectangular Table,696.42,536.2434,2
2016-11-16,Idaho,Jabra BIZ 2300 Duo QD Duo Corded Headset,304.776,281.9178,3
2016-11-26,Tennessee,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,692.472,502.0422,11
2016-11-21,Texas,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,246.1328,322.1444,2
2016-11-21,Texas,Self-Adhesive Address Labels for Typewriters by Universal,11.696,7.7486,2
2016-11-21,Texas,Sharp 1540cs Digital Laser Copier,439.992,274.995,1
2016-11-27,California,Sony 64GB Class 10 Micro SDHC R40 Memory Card,107.97,85.2963,3
2016-11-27,California,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",113.82,60.3246,3
2016-11-30,Kentucky,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.48,9.2644,2
2016-11-30,Kentucky,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",71.88,39.534,2
2016-11-17,Illinois,Acme Box Cutter Scissors,40.92,37.851,5
2016-11-08,Texas,Wilson Jones Leather-Like Binders with DublLock Round Rings,10.476,27.761400000000002,6
2016-11-22,California,Xerox 1887,37.94,19.728799999999996,2
2016-11-22,California,Xerox 1971,42.8,23.539999999999996,10
2016-11-22,California,"Personal Folder Holder, Ebony",33.63,23.541000000000004,3
2016-11-10,Indiana,Letter Size Cart,714.3,507.15299999999996,5
2016-11-09,New York,Zebra ZM400 Thermal Label Printer,2321.9,1207.3880000000001,2
2016-11-09,New York,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",17.94,14.890200000000002,3
2016-11-07,Pennsylvania,"White Envelopes, White Envelopes with Clear Poly Window",24.4,16.47,2
2016-11-05,California,Hanging Personal Folder File,62.8,47.099999999999994,4
2016-11-13,Illinois,"Eldon Imàge Series Desk Accessories, Clear",17.496,24.9318,9
2016-11-08,California,Microsoft Arc Touch Mouse,119.9,76.736,2
2016-11-27,Pennsylvania,LG Exalt,748.752,910.9816,8
2016-11-07,Vermont,Safco Contoured Stacking Chairs,715.2,536.4000000000001,3
2016-11-09,New York,Tennsco Industrial Shelving,244.55,239.65900000000002,5
2016-11-09,New York,Poly String Tie Envelopes,12.24,6.4872000000000005,6
2016-11-09,New York,AmazonBasics 3-Button USB Wired Mouse,13.98,7.9686,2
2016-11-09,New York,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),899.95,845.9530000000001,5
2016-11-05,Washington,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",98.352,62.699400000000004,3
2016-11-14,Oregon,Advantus Push Pins,8.72,6.431000000000001,5
2016-11-14,Oregon,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,91.176,86.6172,3
2016-11-14,Oregon,Plantronics Audio 478 Stereo USB Headset,159.968,129.974,4
2016-11-22,Florida,Texas Instruments TI-34 Scientific Calculator,32.985,34.9641,3
