Transaction Date, State ,SKU,Sales($),COGS,Qty
2017-05-11,California,Xerox 1920,5.98,3.2890000000000006,1
2017-05-09,Washington,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,93.98,80.8228,2
2017-05-30,Colorado,Vinyl Sectional Post Binders,22.62,37.7,2
2017-05-30,Colorado,GBC Standard Therm-A-Bind Covers,14.952,26.913600000000002,2
2017-05-30,Colorado,Global Troy Executive Leather Low-Back Tilter,801.568,751.47,2
2017-05-30,Colorado,Storex Flexible Poly Binders with Double Pockets,2.376,4.2768,3
2017-05-30,Colorado,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",32.792,20.9049,1
2017-05-21,California,Motorola HK250 Universal Bluetooth Headset,55.176,67.5906,3
2017-05-21,California,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,66.26,39.0934,2
2017-05-29,Alabama,Panasonic KX-TG9471B,979.95,705.5640000000001,5
2017-05-29,Alabama,Presstex Flexible Ring Binders,22.75,11.375,5
2017-05-20,California,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,776.4080000000001,5
2017-05-20,California,Wilson Jones Turn Tabs Binder Tool for Ring Binders,15.424,10.4112,4
2017-05-19,Virginia,Hon 4070 Series Pagoda Round Back Stacking Chairs,641.96,462.2112000000001,2
2017-05-20,North Carolina,Cisco Unified IP Phone 7945G VoIP phone,1363.96,1278.7125,5
2017-05-28,Mississippi,"Boston School Pro Electric Pencil Sharpener, 1670",185.88,135.6924,6
2017-05-30,North Carolina,Angle-D Ring Binders,3.282,5.9076,2
2017-05-30,Ohio,Canon Imageclass D680 Copier / Fax,839.988,769.989,2
2017-05-26,Texas,Xerox 212,10.368,6.7392,2
2017-05-26,Texas,Office Star Flex Back Scooter Chair with White Frame,388.43,477.214,5
2017-05-26,Texas,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),14.352,9.1494,3
2017-05-26,Texas,Logitech G13 Programmable Gameboard with LCD Display,63.992,71.19109999999999,1
2017-05-02,Texas,Panasonic KP-380BK Classic Electric Pencil Sharpener,86.352,80.955,3
2017-05-23,California,"Eldon Image Series Desk Accessories, Ebony",37.05,20.747999999999998,3
2017-05-16,Connecticut,"SAFCO Commercial Wire Shelving, Black",552.56,552.56,4
2017-05-05,Kentucky,Xerox 1909,79.14,42.7356,3
2017-05-23,Illinois,Mitel MiVoice 5330e IP Phone,1979.928,1831.4334000000001,9
2017-05-09,Pennsylvania,Staple envelope,9.344,5.84,1
2017-05-09,Pennsylvania,Newell 319,79.36,69.44,5
2017-05-23,Alabama,Xerox 1949,4.98,2.5398000000000005,1
2017-05-12,Virginia,Rogers Handheld Barrel Pencil Sharpener,10.96,8.000800000000002,4
2017-05-08,Delaware,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",211.96,169.568,2
2017-05-08,Ohio,Smead Adjustable Mobile File Trolley with Lockable Top,1006.056,918.0261,3
2017-05-08,Ohio,Xerox 1898,10.688,6.9472000000000005,2
2017-05-08,Ohio,Xerox 222,10.368,6.7392,2
2017-05-08,Ohio,Hanging Personal Folder File,25.12,23.55,2
2017-05-08,Ohio,SanDisk Cruzer 64 GB USB Flash Drive,58.112,50.848,2
2017-05-26,District of Columbia,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),19.44,10.1088,3
2017-05-26,District of Columbia,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,5.2056000000000004,2
2017-05-26,District of Columbia,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",12.7,6.858,2
2017-05-26,District of Columbia,9-3/4 Diameter Round Wall Clock,41.37,23.9946,3
2017-05-18,California,Home/Office Personal File Carts,104.28,78.21000000000001,3
2017-05-18,California,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),17.94,9.149400000000002,3
2017-05-19,New York,Belkin Premiere Surge Master II 8-outlet surge protector,242.9,172.459,5
2017-05-19,New York,Safco Industrial Wire Shelving System,454.9,454.9,5
2017-05-19,New York,Nu-Dell Float Frame 11 x 14 1/2,35.92,20.833600000000004,4
2017-05-19,New York,"DAX Value U-Channel Document Frames, Easel Back",39.76,27.434399999999997,8
2017-05-19,New York,Recycled Easel Ring Binders,47.744,32.824,4
2017-05-17,Florida,Pressboard Hanging Data Binders for Unburst Sheets,2.952,5.1168,2
2017-05-17,Florida,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",27.018,48.632400000000004,6
2017-05-15,Mississippi,GBC DocuBind P50 Personal Binding Machine,511.84,271.2752,8
2017-05-15,Mississippi,Boston KS Multi-Size Manual Pencil Sharpener,91.96,66.21119999999999,4
2017-05-15,Mississippi,Newell 344,8.34,6.1716,3
2017-05-14,Ohio,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",79.384,49.615,1
2017-05-07,New York,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",85.232,54.3354,7
2017-05-07,New York,Alphabetical Labels for Top Tab Filing,44.4,22.2,3
2017-05-07,New York,Hon Mobius Operator's Chair,442.764,383.7288,4
2017-05-07,New York,Bady BDG101FRU Card Printer,3999.95,2839.9645,5
2017-05-07,New York,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,199.95,177.9555,5
2017-05-07,New York,Staple-based wall hangings,63.68,35.660799999999995,8
2017-05-05,Tennessee,Xerox 1965,14.352,9.1494,3
2017-05-06,Ohio,Advantus T-Pin Paper Clips,7.216,5.5022,2
2017-05-06,Ohio,Xerox 1951,49.568,34.077999999999996,2
2017-05-06,Ohio,DAX Solid Wood Frames,54.712,43.0857,7
2017-05-21,Nevada,Panasonic KX MB2061 Multifunction Printer,2396.4,2216.67,10
2017-05-22,New Jersey,AT&T 841000 Phone,345.0,258.75,5
2017-05-22,New Jersey,Bevis 36 x 72 Conference Tables,174.286,194.2044,2
2017-05-22,New Jersey,Eureka Sanitaire  Commercial Upright,662.84,490.50160000000005,4
2017-05-22,New Jersey,SanDisk Cruzer 32 GB USB Flash Drive,95.1,64.66799999999999,5
