Transaction Date, State ,SKU,Sales($),COGS,Qty
2018-07-16,Pennsylvania,"Global Deluxe Stacking Chair, Gray",71.372,72.3916,2
2018-07-06,Pennsylvania,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,5.2046,2
2018-07-06,Pennsylvania,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,10.235700000000001,3
2018-07-08,Massachusetts,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",7.56,4.4604,3
2018-07-08,Massachusetts,Easy-staple paper,24.56,13.016799999999998,2
2018-07-08,Massachusetts,"BIC Brite Liner Highlighters, Chisel Tip",12.96,8.812800000000001,2
2018-07-20,Illinois,"Trav-L-File Heavy-Duty Shuttle II, Black",69.712,60.998000000000005,2
2018-07-20,Illinois,"Contract Clock, 14"", Brown",8.792,14.5068,1
2018-07-30,California,Economy Rollaway Files,330.4,244.49599999999998,2
2018-07-30,California,Avery 480,26.25,13.65,7
2018-07-21,New Jersey,Xerox 1993,6.48,3.3048000000000006,1
2018-07-23,New York,Angle-D Ring Binders,13.128,8.8614,3
2018-07-09,Oregon,Wilson Jones Easy Flow II Sheet Lifters,1.08,1.872,2
2018-07-09,Illinois,"Quartet Alpha White Chalk, 12/Pack",8.84,5.8565000000000005,5
2018-07-09,Illinois,Belkin F9S820V06 8 Outlet Surge,58.464,204.624,9
2018-07-07,New York,Wilson Jones Active Use Binders,17.472,11.1384,3
2018-07-03,Georgia,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",23.99,18.472299999999997,1
2018-07-03,Georgia,Pyle PMP37LED,287.97,210.21810000000002,3
2018-07-08,California,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",145.9,83.16300000000001,5
2018-07-03,North Carolina,4009 Highlighters by Sanford,9.552,7.9998,3
2018-07-11,California,Avery 482,8.67,4.5950999999999995,3
2018-07-08,Washington,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",198.46,99.23,2
2018-07-08,Washington,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",786.48,401.1048,8
2018-07-08,Washington,"GBC White Gloss Covers, Plain Front",23.168,15.348799999999999,2
2018-07-08,Washington,Micro Innovations USB RF Wireless Keyboard with Mouse,50.0,39.5,2
2018-07-03,Texas,netTALK DUO VoIP Telephone Service,167.968,104.97999999999999,4
2018-07-29,North Carolina,Holmes HEPA Air Purifier,34.848,28.314,2
2018-07-29,North Carolina,Samsung Replacement EH64AVFWE Premium Headset,22.0,20.625,5
2018-07-29,North Carolina,Newell 322,4.368,3.9858000000000002,3
2018-07-29,Washington,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,78.79589999999999,3
2018-07-03,Texas,Xerox 1891,273.896,181.45610000000002,7
2018-07-03,Texas,Hewlett-Packard Deskjet 5550 Printer,597.132,547.371,3
2018-07-15,Delaware,GBC Standard Plastic Binding Systems Combs,26.55,13.540500000000002,3
2018-07-15,Delaware,Hon 2111 Invitation Series Straight Table,310.443,359.2269,3
2018-07-28,California,Zipper Ring Binder Pockets,9.984,6.3648,4
2018-07-28,California,Super Decoflex Portable Personal File,14.98,10.7856,1
2018-07-28,California,Wilson Electronics DB Pro Signal Booster,1145.6,1045.36,4
2018-07-31,Pennsylvania,Xerox 1991,54.816,37.0008,3
2018-07-29,Texas,Assorted Color Push Pins,2.896,2.4254,2
2018-07-29,Texas,Cisco SPA301,124.792,109.193,1
